PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"SMITH, BRANDON",425000,0,CAN BC,26,BOS,53,D,L,0,73,196,5,0,0,0,0,2,0,0,0,2,0
"SMITH, DAN",300000,0,CAN BC,25,COL,43,D,L,0,74,195,12,0,0,0,9,5,0,0,0,6,0
"SMITH, GEOFF",-999,0,CAN ALB,29,NYR,14,D,L,9,75,200,4,0,0,0,2,-5,0,0,0,0,0
"SMITH, JASON",1100000,0,CAN ALB,25,EDM,21,D,R,5,75,200,72,3,12,15,51,-9,0,0,0,68,4.3999999911
"SMITH, STEVE",1650000,0,SCOTLAN,36,CAL,55,D,L,13,76,215,69,1,14,15,80,3,0,0,0,42,2.3999999985
"SMOLINSKI, BRYAN",1700000,0,USA OH,27,NYI,20,R,R,6,72,202,82,16,24,40,49,-7,7,0,3,223,7.1999999881
"SMYTH, BRAD",375000,0,CAN ONT,26,NAS,12,R,R,3,72,200,3,0,0,0,6,-1,0,0,0,5,0
"SMYTH, RYAN",675000,0,CAN ALB,23,EDM,94,L,L,4,73,190,71,13,18,31,62,0,6,0,2,161,8.099999994
"SONNENBERG, MARTIN",312500,0,CAN ALB,21,PIT,12,L,L,0,72,178,44,1,1,2,19,-2,0,0,0,12,8.2999999821
"SOPEL, BRENT",330000,1,CAN ALB,22,VAN,3,D,R,0,72,185,5,1,0,1,4,-1,1,0,0,5,20
"SOROCHAN, LEE",425000,0,CAN ALB,24,CAL,33,D,L,0,73,210,2,0,0,0,0,-3,0,0,0,5,0
"SOURAY, SHELDON",475000,0,CAN ALB,23,NJ,2,D,L,1,75,235,70,1,7,8,110,5,0,0,0,101,1
"SPACEK, JAROSLAV",500000,0,CZECH,25,FLA,8,D,L,0,71,198,63,3,12,15,28,15,2,1,0,92,3.299999997
"SPRING, COREY",450000,0,CAN BC,28,TB,20,R,R,1,76,214,8,0,1,1,2,0,0,0,0,6,0
"ST. LOUIS, MARTIN",415000,1,CAN QUE,28,CAL,15,C,L,0,69,180,13,1,1,2,10,-2,0,0,0,14,7.099999994
"STAIOS, STEVE",525000,0,CAN ONT,26,VAN,25,R,R,3,72,185,57,0,2,2,54,-12,0,0,0,33,0
"STAPLETON, MIKE",350000,0,CAN ONT,33,PHO,14,R,R,11,70,182,76,9,9,18,34,-6,0,2,2,106,8.5
"STERN, RONNIE",1050000,0,CAN QUE,32,SJ,22,R,R,10,72,195,78,7,9,16,158,-3,1,0,2,94,7.3999999911
"STEVENS, KEVIN",3204011,0,USA MA,34,NYR,17,L,L,11,75,217,81,23,20,43,64,-10,8,0,3,136,16.8999999762
"STEVENS, SCOTT",4152579,0,CAN ONT,35,NJ,4,D,L,16,74,215,75,5,22,27,64,29,0,0,1,111,4.5
"STEVENSON, TURNER",850000,0,CAN BC,27,MON,23,R,R,6,75,220,69,10,17,27,88,6,0,0,2,102,9.7999999821
"STILLMAN, CORY",1250000,0,CAN ONT,25,CAL,16,L,L,4,72,190,76,27,30,57,38,7,9,3,5,175,15.3999999762
"STOCK, P.J.",330000,0,CAN QUE,24,NYR,28,L,L,1,71,190,5,0,0,0,6,-1,0,0,0,0,0
"STRAKA, MARTIN",2000000,0,CZECH,27,PIT,82,C,L,6,70,175,80,35,48,83,26,12,5,4,4,177,19.7999999523
"STRUDWICK, JASON",625000,0,CAN ALB,24,VAN,34,D,L,2,75,207,65,0,3,3,114,-19,0,0,0,25,0
"STUMPEL, JOZEF",1750000,0,CZECH,27,LA,15,C,R,7,73,200,64,13,21,34,10,-18,1,0,1,131,9.8999999762
"STURM, MARCO",875000,0,GERMANY,21,SJ,19,L,L,1,71,178,78,16,22,38,52,7,3,2,3,140,11.3999999762
"SULLIVAN, MIKE",600000,0,USA MA,31,PHO,26,L,L,7,74,190,63,2,4,6,24,-11,0,1,1,66,3
"SULLIVAN, STEVE",825000,0,CAN ONT,25,TOR,11,C,R,3,69,155,63,20,20,40,28,12,4,0,5,110,18.1999999881
"SUNDIN, MATS",7000000,0,SWEDEN,28,TOR,13,C,R,8,74,210,82,31,52,83,58,22,4,0,6,209,14.7999999821
"SUNDSTROM, NIKLAS",600000,0,SWEDEN,24,NYR,24,L,L,3,72,190,81,13,30,43,20,-2,1,2,3,89,14.599999994
"SUTER, GARY",3000000,0,USA WI,35,SJ,20,D,L,13,72,195,1,0,0,0,0,0,0,0,0,1,0
"SUTTER, RON",350000,0,CAN ALB,35,SJ,12,C,R,16,72,180,59,3,6,9,40,-8,0,0,1,67,4.5
"SUTTON, ANDY",875000,0,CAN ONT,24,SJ,42,D,L,0,78,235,31,0,3,3,65,-4,0,0,0,24,0
"SUTTON, KEN",300000,0,CAN ALB,29,NJ,7,D,L,7,72,200,5,1,0,1,0,1,0,0,0,5,20
"SVEHLA, ROBERT",3000000,0,CZECH,30,FLA,24,D,R,4,72,190,80,8,29,37,83,-13,4,0,0,157,5.099999994
"SVEJKOVSKY, YOGI",550000,0,CZECH,22,WAS,34,R,R,2,71,190,25,6,8,14,12,-2,4,0,2,50,12
"SVOBODA, PETR",1500000,0,CZECH,33,TB,23,D,L,14,73,180,59,5,18,23,81,1,1,1,1,83,6
"SWEENEY, DON",1200000,0,CAN NB,33,BOS,32,D,L,10,71,188,81,2,10,12,64,14,0,0,0,79,2.5
"SYDOR, DARRYL",2400000,0,CAN ALB,27,DAL,5,D,L,7,72,200,74,14,34,48,50,-1,9,0,2,163,8.599999994
